playerID,careerPassYards,careerPassTDs,careerINTs,careerPasserRating,careerCompPct,careerSacks,careerGamesStarted,careerQBRushYards,seasonHighPassYards,seasonHighPassTDs,careerRushYards,careerRushTDs,careerYPC,careerRushAttempts,careerFumbles,seasonHighRushYards,careerRecYards,careerReceptions,careerRecTDs,careerYPR,seasonHighRecYards,seasonHighReceptions,careerTargets,careerTotalTDs,seasonHighRecTDs,seasonHighRushTDs,seasons
00-0036491,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,10,1,0,10.0,10,1,2,0,0,0,1
00-0036493,0,0,0,0.0,0,0,17,0,0,0,283,2,2.98,95,3,236,223,35,1,6.4,209,30,40,3,1,1,3
00-0036497,0,0,0,0.0,0,0,16,0,0,0,0,0,0,0,0,0,154,17,0,9.1,83,11,27,0,0,0,3
00-0036510,0,0,0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,111,9,1,12.3,47,5,15,1,1,0,3
00-0036523,0,0,0,0.0,0,0,1,0,0,0,9,0,9.0,1,0,9,6,2,0,3.0,6,2,2,0,0,0,1
00-0036527,0,0,0,0.0,0,0,12,0,0,0,59,1,6.56,9,0,33,158,16,1,9.9,158,16,30,2,1,1,2
00-0036534,0,0,0,0.0,0,0,11,0,0,0,0,0,0,0,0,0,116,15,4,7.7,60,11,23,4,4,0,3
00-0036543,0,0,0,0.0,0,0,2,0,0,0,43,0,4.78,9,0,43,10,2,0,5.0,10,2,4,0,0,0,1
00-0036582,0,0,0,0.0,0,0,1,0,0,0,-1,0,-1.0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1
00-0036590,0,0,0,0.0,0,0,13,0,0,0,0,0,0,0,1,0,146,15,3,9.7,84,8,22,3,1,0,3
00-0036692,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00-0036698,0,0,0,0.0,0,0,4,0,0,0,11,0,2.2,5,0,11,0,0,0,0,0,0,1,0,0,0,1
00-0036727,0,0,0,0.0,0,0,15,0,0,0,26,0,2.89,9,2,12,37,8,0,4.6,16,3,13,0,0,0,4
00-0036741,0,0,0,0.0,0,0,19,0,0,0,0,0,0,0,0,0,193,22,0,8.8,123,11,30,0,0,0,4
00-0036754,0,0,0,0.0,0,0,38,0,0,0,0,0,0,0,0,0,524,56,9,9.4,216,18,71,9,4,0,4
00-0036755,0,0,0,0.0,0,0,15,0,0,0,344,2,4.05,85,1,266,73,10,0,7.3,73,10,12,2,0,2,2
00-0036768,0,0,0,0.0,0,0,2,0,0,0,29,1,7.25,4,0,29,0,0,0,0,0,0,0,1,0,1,1
00-0036810,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,21,2,0,10.5,21,2,4,0,0,0,1
00-0036825,0,0,1,0.0,0.0,0,8,0,0,0,6,0,1.5,4,0,6,12,1,0,12.0,12,1,5,0,0,0,3
00-0036829,0,0,0,0.0,0,0,12,0,0,0,366,1,4.82,76,1,366,3,2,0,1.5,3,2,2,1,0,1,1
00-0036841,0,0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,82,8,0,10.2,40,4,14,0,0,0,3
00-0036910,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,11,2,0,5.5,11,2,2,0,0,0,1
00-0036950,0,0,0,0.0,0,0,14,0,0,0,109,1,4.95,22,0,109,61,13,0,4.7,61,13,14,1,0,1,1
00-0036959,0,0,0,0.0,0,0,7,0,0,0,0,0,0,0,0,0,89,10,0,8.9,89,10,21,0,0,0,1
00-0037055,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1
00-0037112,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00-0037120,0,0,0,0.0,0,0,15,0,0,0,240,1,5.33,45,0,153,95,17,1,5.6,61,11,24,2,1,1,2
00-0037132,0,0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,76,11,0,6.9,42,7,14,0,0,0,2
00-0037156,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
00-0037157,0,0,0,0.0,0,0,9,0,0,0,313,1,3.56,88,2,300,108,14,0,7.7,100,13,15,1,0,1,2
00-0037168,0,0,0,0.0,0,0,5,0,0,0,26,0,13.0,2,0,26,64,5,0,12.8,64,5,6,0,0,0,1
00-0037175,302,0,2,48.2,0.449,5,2,-5,302,0,-5,0,-1.67,3,0,-5,0,0,0,0,0,0,0,0,0,0,1
00-0037216,0,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,0,53,6,0,8.8,53,6,12,0,0,0,2
00-0037228,0,0,0,0.0,0,0,48,0,0,0,1674,6,4.84,346,7,784,894,127,0,7.0,370,61,154,6,0,4,3
00-0037231,0,0,0,0.0,0,0,8,0,0,0,9,0,9.0,1,1,9,151,11,0,13.7,151,11,22,0,0,0,1
00-0037348,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,16,3,0,5.3,16,3,7,0,0,0,2
00-0037355,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,1,0,17,2,0,8.5,17,2,3,0,0,0,1
00-0037382,0,0,0,0.0,0,0,15,0,0,0,0,0,0,0,0,0,335,26,5,12.9,284,19,45,5,4,0,3
00-0037387,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,75,2,1,37.5,75,2,5,1,1,0,1
00-0037410,0,0,0,0.0,0,0,1,0,0,0,1,0,1.0,1,0,1,12,3,0,4.0,12,3,3,0,0,0,1
00-0037420,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2.0,2,1,1,0,0,0,1
00-0037422,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,9.0,9,1,1,0,0,0,1
00-0037429,0,0,0,0.0,0,0,21,0,0,0,203,3,3.9,52,0,80,138,16,0,8.6,93,10,19,3,0,3,3
00-0037450,0,0,0,0.0,0,0,1,0,0,0,11,0,5.5,2,0,11,0,0,0,0,0,0,0,0,0,0,1
00-0037451,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
00-0037456,0,0,0,0.0,0,0,7,0,0,0,0,0,0,0,0,0,19,5,0,3.8,19,5,8,0,0,0,1
00-0037475,0,0,0,0.0,0,0,22,0,0,0,0,0,0,0,1,0,380,31,1,12.3,208,16,45,1,1,0,3
00-0037487,0,0,0,0.0,0,0,18,0,0,0,89,0,7.42,12,1,56,135,26,1,5.2,83,17,39,1,1,0,3
00-0037506,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,6.0,6,1,1,0,0,0,1
00-0037509,0,0,0,0.0,0,0,4,0,0,0,183,0,4.69,39,0,183,29,6,0,4.8,29,6,7,0,0,0,1
00-0037524,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,49,1,1,49.0,49,1,2,1,1,0,1
00-0037525,0,0,0,0.0,0,0,29,0,0,0,1253,7,5.31,236,3,789,122,14,0,8.7,91,11,18,7,0,3,3
00-0037539,0,0,0,0.0,0,0,17,0,0,0,0,0,0,0,0,0,247,27,1,9.1,152,19,37,1,1,0,2
00-0037545,0,0,0,0.0,0,0,32,0,0,0,123,1,7.24,17,1,57,1556,94,10,16.6,719,46,150,11,5,1,3
00-0037557,0,0,0,0.0,0,0,14,0,0,0,249,0,3.95,63,0,129,85,15,0,5.7,34,5,16,0,0,0,3
00-0037563,0,0,0,0.0,0,0,6,0,0,0,161,1,4.24,38,0,161,63,6,0,10.5,63,6,7,1,0,1,1
00-0037569,0,0,0,0.0,0,0,20,0,0,0,2,1,1.0,2,0,2,192,20,2,9.6,103,11,28,3,2,1,3
00-0037570,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,16,2,0,8.0,16,2,6,0,0,0,1
00-0037594,0,0,0,0.0,0,0,10,0,0,0,114,0,3.68,31,0,102,52,5,0,10.4,41,3,6,0,0,0,2
00-0037609,0,0,0,0.0,0,0,3,0,0,0,17,0,2.83,6,0,17,0,0,0,0,0,0,0,0,0,0,1
00-0037654,0,0,0,0.0,0,0,8,0,0,0,0,0,0,0,0,0,48,8,0,6.0,39,7,9,0,0,0,2
00-0037708,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,7.0,7,1,1,0,0,0,1
00-0037801,0,0,0,0.0,0,0,32,0,0,0,219,1,7.3,30,3,110,556,44,5,12.6,420,31,72,6,3,1,3
00-0038147,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,25,2,0,12.5,25,2,2,0,0,0,1
00-0038149,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00-0038359,0,0,0,0.0,0,0,3,0,0,0,36,0,9.0,4,0,36,6,2,0,3.0,6,2,2,0,0,0,1
00-0038416,870,3,6,71.9,0.662,5,9,102,859,3,102,2,3.52,29,0,109,0,0,0,0,0,0,0,2,0,2,2
00-0038454,0,0,0,0.0,0,0,9,0,0,0,426,2,6.87,62,0,396,121,10,0,12.1,93,9,12,2,0,2,2
00-0038465,0,0,0,0.0,0,0,17,0,0,0,0,0,0,0,0,0,222,25,3,8.9,125,15,37,3,2,0,2
00-0038476,1358,8,3,88.4,0.653,43,11,227,1101,8,227,1,5.16,44,2,195,0,0,0,0,0,0,0,1,0,1,2
00-0038477,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00-0038489,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,1,0,0,0,1
00-0038492,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,56,5,1,11.2,56,5,8,1,1,0,1
00-0038496,0,0,0,0.0,0,0,21,0,0,0,73,1,8.11,9,1,68,268,27,1,9.9,229,21,48,2,1,1,2
00-0038498,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,7,1,1,7.0,7,1,2,1,1,0,1
00-0038519,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,48,2,0,24.0,48,2,6,0,0,0,1
00-0038614,0,0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,28,4,0,7.0,28,4,5,0,0,0,1
00-0038667,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,38,3,0,12.7,38,3,4,0,0,0,1
00-0038678,0,0,0,0.0,0,0,8,0,0,0,70,0,3.5,20,0,70,71,12,0,5.9,71,12,20,0,0,0,2
00-0038679,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,69,1,1,69.0,69,1,1,1,1,0,1
00-0038685,0,0,0,0.0,0,0,14,0,0,0,289,1,5.25,55,0,183,69,11,0,6.3,69,11,13,1,0,1,2
00-0038705,0,0,0,0.0,0,0,24,0,0,0,507,3,6.18,82,0,284,223,37,0,6.0,119,21,50,3,0,2,2
00-0038710,0,0,0,0.0,0,0,7,0,0,0,0,0,0,0,0,0,51,6,1,8.5,51,6,9,1,1,0,1
00-0038720,0,0,0,0.0,0,0,17,0,0,0,0,0,0,0,2,0,148,18,0,8.2,100,12,28,0,0,0,2
00-0038738,0,0,0,0.0,0,0,19,0,0,0,57,1,3.17,18,0,38,129,15,0,8.6,111,12,20,1,0,1,2
00-0038752,0,0,0,0.0,0,0,25,0,0,0,3,1,3.0,1,0,3,303,32,3,9.5,196,19,42,4,2,1,2
00-0038783,0,0,0,0.0,0,0,16,0,0,0,0,0,0,0,0,0,137,18,3,7.6,115,14,20,3,3,0,2
00-0038794,0,0,0,0.0,0,0,33,0,0,0,906,2,4.79,189,1,496,236,55,4,4.3,160,31,63,6,2,1,2
00-0038797,0,0,0,0.0,0,0,22,0,0,0,587,4,5.02,117,0,502,71,15,1,4.7,48,11,19,5,1,4,2
00-0038809,0,0,0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,63,8,1,7.9,42,4,11,1,1,0,2
00-0038821,0,0,0,0.0,0,0,12,0,0,0,0,0,0.0,1,0,0,184,13,0,14.2,124,9,20,0,0,0,2
00-0038824,0,0,0,0.0,0,0,8,0,0,0,0,0,0,0,0,0,128,12,2,10.7,128,12,20,2,2,0,1
00-0038840,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,-2,1,0,-2.0,-2,1,1,0,0,0,1
00-0038862,0,0,0,0.0,0,0,1,0,0,0,6,0,1.5,4,0,6,13,2,0,6.5,13,2,2,0,0,0,1
00-0038891,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00-0038911,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00-0038920,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,7.0,7,1,1,0,0,0,1
00-0038951,0,0,0,0.0,0,0,14,0,0,0,331,2,5.09,65,1,308,118,11,1,10.7,109,9,14,3,1,2,2
00-0039244,0,0,0,0.0,0,0,2,0,0,0,12,0,2.4,5,0,12,-4,1,0,-4.0,-4,1,2,0,0,0,1
00-0039299,0,0,0,0.0,0,0,2,0,0,0,10,0,3.33,3,0,10,-1,1,0,-1.0,-1,1,1,0,0,0,1
00-0039316,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00-0039325,0,0,0,0.0,0,0,12,0,0,0,183,0,3.27,56,3,183,26,7,0,3.7,26,7,11,0,0,0,1
00-0039364,0,0,0,0.0,0,0,4,0,0,0,14,0,2.33,6,0,14,37,3,0,12.3,37,3,3,0,0,0,1
00-0039451,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,3.0,6,2,3,0,0,0,1
00-0039458,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00-0039491,19,0,0,118.8,1.0,0,11,0,19,0,0,0,0,0,0,0,478,32,2,14.9,478,32,46,2,2,0,1
00-0039521,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
00-0039530,0,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,0,88,9,0,9.8,88,9,14,0,0,0,1
00-0039543,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,7,1,0,7.0,7,1,3,0,0,0,1
00-0039573,0,0,0,0.0,0,0,1,0,0,0,10,0,2.5,4,0,10,13,1,0,13.0,13,1,2,0,0,0,1
00-0039589,0,0,0,0.0,0,0,3,0,0,0,11,0,5.5,2,0,11,0,0,0,0,0,0,1,0,0,0,1
00-0039603,0,0,0,0.0,0,0,1,0,0,0,2,0,2.0,1,0,2,0,0,0,0,0,0,0,0,0,0,1
00-0039613,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,21,3,0,7.0,21,3,4,0,0,0,1
00-0039614,0,0,0,0.0,0,0,1,0,0,0,-1,0,-1.0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1
00-0039617,0,0,0,0.0,0,0,1,0,0,0,24,0,4.8,5,0,24,15,1,0,15.0,15,1,3,0,0,0,1
00-0039623,0,0,0,0.0,0,0,9,0,0,0,0,0,0,0,0,0,99,14,0,7.1,99,14,26,0,0,0,1
00-0039631,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,28,5,0,5.6,28,5,5,0,0,0,1
00-0039648,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,6,1,0,6.0,6,1,2,0,0,0,1
00-0039650,0,0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,95,6,0,15.8,95,6,9,0,0,0,1
00-0039703,0,0,0,0.0,0,0,1,0,0,0,3,0,3.0,1,0,3,6,1,0,6.0,6,1,1,0,0,0,1
00-0039757,0,0,0,0.0,0,0,2,0,0,0,33,0,2.54,13,0,33,0,0,0,0,0,0,1,0,0,0,1
AbanIs00,0,0,0,0.0,0,0,6,0,0,0,70,0,3.18,22,0,70,43,7,0,6.1,43,7,11,0,0,0,1
AbbrJa00,0,0,0,0.0,0,0,22,0,0,0,0,0,0,0,1,0,163,13,0,12.5,111,9,25,0,0,0,4
AbduAm00,0,0,0,0.0,0,0,154,0,0,0,2054,9,4.04,508,7,597,1567,219,11,7.2,289,40,268,20,3,4,11
AbduKa00,0,0,0,0.0,0,0,61,0,0,0,3411,33,3.4,1004,0,0,586,90,2,6.5,0,0,0,35,0,0,5
AberWa00,0,0,0,0.0,0,0,84,0,0,0,3357,22,3.96,847,0,0,1351,139,7,9.7,0,0,0,29,0,0,7
AchaDe00,0,0,0,0.0,0,1,44,0,0,0,3057,22,5.62,544,2,1350,1277,172,13,7.4,592,78,124,35,6,8,3
AdamCu00,0,0,0,0.0,0,0,27,0,0,0,907,7,3.46,262,0,0,76,9,0,8.4,0,0,0,7,0,0,4
AdamDa01,0,0,0,0.0,0,1,178,0,0,0,-1,0,-0.33,3,6,0,12633,1017,117,12.4,1553,123,1508,117,18,0,12
AdamDa20,0,0,0,0.0,0,0,3,0,0,0,49,1,7.0,7,0,0,8,1,0,8.0,0,0,0,1,0,0,1
AdamGe00,0,0,0,39.6,0.0,0,76,0,0,0,886,3,3.45,257,0,0,1014,111,4,9.1,0,0,0,7,0,0,7
AdamJe01,0,0,0,0.0,0,0,30,0,0,0,0,0,0,0,1,0,214,24,1,8.9,122,16,32,1,1,0,4
AdamJo01,0,0,0,0.0,0,0,9,0,0,0,13,0,4.33,3,0,13,7,1,0,7.0,7,1,1,0,0,0,1
AdamMi00,0,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,0,39,1,0,39.0,0,0,0,0,0,0,1
AdamRo01,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
AddaJo00,22,1,0,158.3,1.0,1,78,0,22,1,4453,39,4.07,1095,7,1081,1448,191,9,7.6,364,51,217,48,3,12,6
AddiJo00,0,0,0,0.0,0,0,46,0,0,0,103,2,17.17,6,0,81,2396,175,22,13.7,911,70,207,24,10,1,3
AffhEr00,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,68,7,0,9.7,0,0,0,0,0,0,3
AgeeTo00,0,0,1,0.0,0.0,0,100,0,0,0,309,1,3.4,91,0,0,366,44,1,8.3,0,0,0,2,0,0,8
AghoNe00,15,0,0,118.8,1.0,0,149,0,15,0,71,0,5.07,14,8,32,4858,389,37,12.5,896,64,647,37,8,0,10
AikeSa00,0,0,0,0.0,0,0,95,0,0,0,0,0,0,0,0,0,684,48,2,14.2,326,20,69,2,2,0,8
AikmTr00,32942,165,141,81.6,0.615,32,165,1016,28406,141,1016,9,3.11,327,2,993,-19,2,0,-9.5,0,2,0,9,0,8,12
AingEr00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AiyuBr00,0,0,0,0.0,0,0,69,0,0,0,117,2,9.0,13,3,77,4305,294,25,14.6,1342,78,446,27,8,2,5
AjayJa00,0,0,0,0.0,0,0,45,0,0,0,2546,13,4.45,572,8,1272,419,63,1,6.7,158,27,87,14,1,8,5
AkerCa00,32,1,0,158.3,1.0,1,59,0,32,1,2044,13,4.03,507,4,786,388,52,4,7.5,123,14,65,17,3,7,6
AkinJo00,0,0,0,0.0,0,0,107,0,0,0,7,0,3.5,2,4,4,2277,206,10,11.1,495,40,297,10,5,0,7
AkiuMi20,0,0,0,0.0,0,0,20,0,0,0,0,0,0,0,0,0,99,6,0,16.5,0,0,0,0,0,0,2
AlexAl20,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlexDa21,0,0,0,0.0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AlexDe00,0,0,0,0.0,0,0,126,0,0,0,210,1,13.12,16,0,82,6971,417,40,16.7,4270,250,344,41,25,1,9
AlexMi00,0,0,0,0.0,0,0,19,0,0,0,0,0,0,0,0,0,302,16,1,18.9,0,0,0,1,0,0,4
AlexRo20,0,0,0,0.0,0,0,24,0,0,0,31,0,3.88,8,0,0,3,2,0,1.5,0,0,0,0,0,0,3
AlexSh00,0,0,0,0.0,0,0,123,0,0,0,9453,100,4.32,2187,31,1880,1520,215,12,7.1,460,59,255,112,4,27,9
AlexSt00,0,0,0,0.0,0,0,118,0,0,0,0,0,0,0,2,0,2519,247,14,10.2,510,46,295,14,4,0,9
AlfoBr00,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,18,2,1,9.0,11,1,5,1,1,0,2
AlfoMa00,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,15,1,0,15.0,15,1,1,0,0,0,2
AlixRa00,0,0,0,0.0,0,0,21,0,0,0,55,0,3.24,17,0,31,68,9,1,7.6,68,9,2,1,1,0,2
AlleAn00,0,0,0,0.0,0,0,45,0,0,0,0,0,0,0,0,0,767,44,8,17.4,0,0,0,8,0,0,7
AlleAn01,0,0,0,0.0,0,0,21,0,0,0,69,1,3.63,19,0,61,12,2,0,6.0,12,2,4,1,0,1,2
AlleBr00,1882,11,9,73.3,0.567,23,19,68,925,5,68,0,1.89,36,0,39,0,0,0,0,0,0,1,0,0,0,10
AlleBr05,0,0,0,0.0,0,0,21,0,0,0,410,3,3.73,110,0,334,165,21,1,7.9,148,19,27,4,1,2,2
AlleBr20,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AlleDa02,0,0,0,0.0,0,0,47,0,0,0,0,0,0,0,0,0,342,40,4,8.6,208,24,24,4,3,0,3
AlleDw00,0,0,0,0.0,0,0,86,0,0,0,6,0,1.5,4,3,5,1564,139,20,11.3,521,45,225,20,8,0,7
AlleGa20,0,0,0,0.0,0,0,30,0,0,0,7,0,2.33,3,0,0,35,2,1,17.5,0,0,0,1,0,0,3
AlleGr21,0,0,0,0.0,0,0,9,0,0,0,35,0,3.89,9,0,0,0,0,0,0,0,0,0,0,0,0,2
AlleJa01,0,0,0,0.0,0,0,64,0,0,0,1285,9,3.67,350,3,591,823,130,6,6.3,353,46,171,15,2,4,5
AlleJo02,30102,220,94,94.4,0.64,189,128,4721,4544,37,4721,79,5.42,871,32,763,19,1,2,19.0,12,1,2,81,1,15,8
AlleKe00,49,1,1,67.9,0.2,1,171,0,49,1,113,0,6.28,18,13,75,12051,1055,70,11.4,1393,108,1429,70,8,0,13
AlleLe01,0,0,0,0.0,0,0,17,0,0,0,94,0,4.09,23,0,0,54,10,0,5.4,0,0,0,0,0,0,1
AlleMa00,282,6,1,106.8,0.444,0,222,0,0,0,12243,123,4.05,3022,0,0,5411,587,21,9.2,0,0,0,144,0,0,16
AlleMa01,0,0,0,0.0,0,0,37,0,0,0,378,2,4.02,94,0,0,57,7,0,8.1,0,0,0,2,0,0,4
AlleTe00,0,0,0,0.0,0,0,130,0,0,0,8614,73,4.0,2152,9,6890,1601,204,6,7.8,1401,172,40,79,5,60,12
AllgTy00,0,0,0,0.0,0,0,67,0,0,0,2876,18,4.25,676,0,1035,516,61,2,8.5,193,18,53,20,1,8,4
AlliAu00,0,0,0,0.0,0,0,26,0,0,0,4,0,1.33,3,1,3,231,18,0,12.8,113,10,18,0,0,0,2
AllrJo00,0,0,0,0.0,0,0,53,0,0,0,0,0,0,0,0,0,281,30,2,9.4,109,12,32,2,1,0,6
AllxEr00,0,0,0,0.0,0,0,9,0,0,0,0,0,0,0,0,0,158,20,0,7.9,158,20,22,0,0,0,1
AlstMi00,0,0,0,39.6,0.0,0,158,0,0,0,5088,58,3.74,1359,17,1881,2284,305,13,7.5,888,111,235,71,7,18,11
AmarJa00,0,0,0,0.0,0,0,17,0,0,0,0,0,0,0,1,0,404,41,2,9.9,345,38,57,2,2,0,3
AndeAl00,112,2,1,91.0,0.444,0,108,0,0,0,2374,22,3.79,626,0,0,1042,114,5,9.1,0,0,0,27,0,0,8
AndeBr20,0,0,0,0.0,0,0,27,0,0,0,0,0,0,0,0,0,83,4,1,20.8,0,0,0,1,0,0,2
AndeCo00,0,0,0,0.0,0,0,43,0,0,0,0,0,0,0,2,0,763,62,6,12.3,303,25,62,6,3,0,4
AndeDa01,0,0,0,0.0,0,0,67,0,0,0,0,0,0,0,0,0,965,88,4,11.0,370,38,120,4,2,0,6
AndeDe00,10878,60,64,70.4,0.543,83,78,226,3786,29,226,5,2.22,102,14,77,0,0,0,0,0,0,0,5,0,3,14
AndeDe01,0,0,0,0.0,0,0,39,0,0,0,3,0,1.5,2,0,3,67,9,1,7.4,55,6,11,1,1,0,4
AndeFl00,0,0,0,0.0,0,0,114,0,0,0,23,0,7.67,3,0,0,5357,267,28,20.1,0,0,0,28,0,0,10
AndeGa00,4,1,0,122.9,1.0,0,111,0,0,0,3409,16,3.92,869,0,0,2999,302,15,9.9,0,0,0,31,0,0,11
AndeJa00,27,1,1,45.8,0.167,0,88,0,27,1,5336,34,4.02,1329,7,4074,1645,156,7,10.5,1125,110,62,41,6,27,8
AndeJe00,0,0,0,0.0,0,0,35,0,0,0,0,0,0,0,0,0,150,11,2,13.6,0,0,0,2,0,0,4
AndeMi00,0,0,0,0.0,0,0,98,0,0,0,4067,37,4.43,919,12,1491,727,92,5,7.9,212,23,111,42,2,15,8
AndeNe00,0,0,0,39.6,0.0,0,116,0,0,0,6166,51,4.07,1515,0,0,2763,302,20,9.1,0,0,0,71,0,0,8
AndeRi00,26,1,0,93.8,0.25,0,161,0,26,1,1274,4,4.01,318,5,446,3149,400,14,7.9,831,104,374,18,4,2,12
AndeRo01,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AndeRo02,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AndeSc00,0,0,0,0.0,0,0,34,0,0,0,0,0,0,0,1,0,858,54,4,15.9,325,25,107,4,2,0,3
AndeSt00,0,0,0,0.0,0,0,23,0,0,0,0,0,0,0,0,0,188,16,1,11.8,0,0,0,1,0,0,4
AndrMa00,0,0,0,0.0,0,0,121,0,0,0,61,1,3.21,19,7,48,5952,484,56,12.3,1361,107,632,57,11,1,8
AnelMa20,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AnguRi00,0,0,0,0.0,0,0,27,0,0,0,0,0,0,0,0,0,155,17,1,9.1,81,8,17,1,1,0,6
AnkrSc20,0,0,0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AnthRe00,0,0,0,0.0,0,0,73,0,0,0,151,0,11.62,13,1,127,1846,144,16,12.8,1156,86,127,16,11,0,5
AnthTe21,0,0,0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,51,4,0,12.8,0,0,0,0,0,0,2
AnthTy00,0,0,0,0.0,0,0,31,0,0,0,170,1,4.59,37,0,0,298,40,0,7.5,0,0,0,1,0,0,2
ArbuCh00,0,0,0,0.0,0,0,42,0,0,0,0,0,0,0,0,0,282,33,1,8.5,0,0,0,1,0,0,6
ArceJJ00,0,0,0,0.0,0,0,40,0,0,0,0,0,0,0,0,0,290,16,1,18.1,169,10,35,1,1,0,3
ArchDr00,0,0,0,0.0,0,0,20,0,0,0,40,0,4.0,10,0,40,23,7,0,3.3,23,7,10,0,0,0,2
ArchMi00,18,1,0,120.8,0.5,0,23,0,0,0,24,1,4.0,6,0,0,25,5,0,5.0,0,0,0,1,0,0,3
