playerID,careerPassYards,careerPassTDs,careerINTs,careerPasserRating,careerCompPct,careerSacks,careerGamesStarted,careerQBRushYards,seasonHighPassYards,seasonHighPassTDs,careerRushYards,careerRushTDs,careerYPC,careerRushAttempts,careerFumbles,seasonHighRushYards,careerRecYards,careerReceptions,careerRecTDs,careerYPR,seasonHighRecYards,seasonHighReceptions,careerTargets,careerTotalTDs,seasonHighRecTDs,seasonHighRushTDs,seasons
00-0013173,0,0,0,0.0,0,0,2,0,0,0,1,0,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
00-0013176,0,0,0,0.0,0,0,2,0,0,0,-14,0,-14.0,1,0,-14,45,1,0,45.0,45,1,1,0,0,0,1
00-0013298,0,0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,49,7,0,7.0,32,4,8,0,0,0,2
00-0013422,0,0,0,0.0,0,0,42,0,0,0,0,0,0,0,0,0,417,43,4,9.7,128,10,71,4,2,0,6
00-0013467,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,14,2,0,7.0,14,2,5,0,0,0,1
00-0013523,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1.0,1,1,1,0,0,0,1
00-0013694,0,0,0,0.0,0,0,132,0,0,0,1586,13,4.1,387,4,646,1455,198,4,7.3,446,54,235,17,2,7,12
00-0013785,0,0,0,0.0,0,0,9,0,0,0,322,0,3.58,90,0,295,173,22,1,7.9,173,22,25,1,1,0,2
00-0014384,59,0,0,85.0,0.667,0,1,8,59,0,8,0,4.0,2,0,8,0,0,0,0,0,0,0,0,0,0,1
00-0014489,0,0,0,39.6,0.0,0,77,0,0,0,17,0,5.67,3,5,11,4116,271,26,15.2,1051,74,454,26,9,0,6
00-0014655,0,0,0,0.0,0,0,99,0,0,0,158,3,3.16,50,4,78,1077,120,18,9.0,224,20,165,21,7,2,11
00-0014790,0,0,0,0.0,0,0,21,0,0,0,8,0,1.6,5,0,5,699,56,3,12.5,425,33,112,3,3,0,2
00-0014809,0,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,0,37,4,0,9.2,37,4,8,0,0,0,1
00-0014977,0,0,0,0.0,0,0,11,0,0,0,0,0,0,0,0,0,206,23,0,9.0,206,23,40,0,0,0,1
00-0015161,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
00-0015290,72,0,0,79.2,0.25,1,125,0,72,0,268,1,8.38,32,9,99,8559,667,47,12.8,1578,113,914,48,11,1,8
00-0015601,0,0,0,0.0,0,0,93,0,0,0,1522,8,3.95,385,5,444,1179,167,3,7.1,281,37,173,11,1,5,10
00-0015655,0,0,0,0.0,0,0,9,0,0,0,61,3,2.54,24,1,61,133,18,1,7.4,133,18,23,4,1,3,1
00-0015698,0,0,0,39.6,0.0,0,55,0,0,0,3795,28,3.98,954,8,1172,973,121,4,8.0,333,46,169,32,2,13,4
00-0015759,0,0,0,0.0,0,0,8,0,0,0,26,0,6.5,4,0,27,0,0,0,0,0,0,6,0,0,0,2
00-0015830,0,0,0,0.0,0,0,113,0,0,0,709,2,4.15,171,5,174,1119,173,3,6.5,216,29,204,5,2,1,9
00-0015959,0,0,0,0.0,0,0,21,0,0,0,0,0,0,0,1,0,310,20,1,15.5,203,13,50,1,1,0,3
00-0015980,0,0,0,0.0,0,0,25,0,0,0,33,0,5.5,6,0,23,493,41,2,12.0,213,18,53,2,1,0,4
00-0016232,0,0,0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,253,20,1,12.7,247,19,40,1,1,0,3
00-0016296,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
